Training Adaboost with 5% initial random data
Iteration 1:

Round: 2  |  Feature: 51  |  Threshold: 0.0014933185540981588  |  Round_error: 0.3289431157029513  |  Train_error: 0.24637681159420288  |  Test_error: 0.2105902356084528  |  AUC: 0.7561900537714564
Round: 3  |  Feature: 36  |  Threshold: 0.013062409288824383  |  Round_error: 0.6506843385133239  |  Train_error: 0.23188405797101452  |  Test_error: 0.1746417294146223  |  AUC: 0.8340623788651341
Round: 4  |  Feature: 15  |  Threshold: 0.014750000000000001  |  Round_error: 0.3105358589037752  |  Train_error: 0.18219461697722572  |  Test_error: 0.14282244352683993  |  AUC: 0.8344820645853833
Round: 5  |  Feature: 54  |  Threshold: 0.0011793009532455742  |  Round_error: 0.3097780732393928  |  Train_error: 0.1697722567287785  |  Test_error: 0.12387660918144283  |  AUC: 0.8672740803689457
Round: 6  |  Feature: 20  |  Threshold: 0.06255625562556255  |  Round_error: 0.3497591681782263  |  Train_error: 0.19461697722567284  |  Test_error: 0.1195044935632742  |  AUC: 0.8631623281748516
Round: 7  |  Feature: 24  |  Threshold: 0.005760921747479598  |  Round_error: 0.620265508551154  |  Train_error: 0.17391304347826086  |  Test_error: 0.10541656546028666  |  AUC: 0.8848762809235571
Round: 8  |  Feature: 4  |  Threshold: 0.0345  |  Round_error: 0.35303348910383675  |  Train_error: 0.1532091097308489  |  Test_error: 0.09570075297546754  |  AUC: 0.8907486507439545
Round: 9  |  Feature: 45  |  Threshold: 0.0013605442176870747  |  Round_error: 0.614792345995527  |  Train_error: 0.15734989648033126  |  Test_error: 0.0947291717269857  |  AUC: 0.8936064396537158
Round: 10  |  Feature: 22  |  Threshold: 0.010091743119266054  |  Round_error: 0.3587266239118684  |  Train_error: 0.13871635610766042  |  Test_error: 0.08987126548457613  |  AUC: 0.8974600192821858
Iteration 5:

Round: 1  |  Feature: 52  |  Threshold: 0.0010827919373646512  |  Round_error: 0.27610619469026554  |  Train_error: 0.27610619469026554  |  Test_error: 0.20570012391573733  |  AUC: 0.7599194935133972
Round: 2  |  Feature: 51  |  Threshold: 0.0026941314120327606  |  Round_error: 0.31934518212351415  |  Train_error: 0.27610619469026554  |  Test_error: 0.20570012391573733  |  AUC: 0.7599194935133972
Round: 3  |  Feature: 24  |  Threshold: 0.005760921747479598  |  Round_error: 0.6674221498813646  |  Train_error: 0.21769911504424777  |  Test_error: 0.13556381660470884  |  AUC: 0.867049217248923
Round: 4  |  Feature: 6  |  Threshold: 0.002063273727647868  |  Round_error: 0.34871504510280404  |  Train_error: 0.20353982300884954  |  Test_error: 0.12713754646840147  |  AUC: 0.8435141513114164
Round: 5  |  Feature: 45  |  Threshold: 0.0013605442176870747  |  Round_error: 0.660843051728191  |  Train_error: 0.17522123893805308  |  Test_error: 0.1070631970260223  |  AUC: 0.8969101643730449
Round: 6  |  Feature: 15  |  Threshold: 0.014750000000000001  |  Round_error: 0.3474215118806353  |  Train_error: 0.16637168141592917  |  Test_error: 0.09541511771995048  |  AUC: 0.8865960184710321
Round: 7  |  Feature: 20  |  Threshold: 0.05535553555355535  |  Round_error: 0.3597206175022891  |  Train_error: 0.17345132743362834  |  Test_error: 0.07905824039653031  |  AUC: 0.9097105553064687
Round: 8  |  Feature: 54  |  Threshold: 0.0011793009532455742  |  Round_error: 0.3535030540076302  |  Train_error: 0.17522123893805308  |  Test_error: 0.08153655514250313  |  AUC: 0.9040020742981559
Round: 9  |  Feature: 4  |  Threshold: 0.0345  |  Round_error: 0.3940942909146707  |  Train_error: 0.16460176991150444  |  Test_error: 0.07781908302354401  |  AUC: 0.9082457252709643
Round: 10  |  Feature: 36  |  Threshold: 0.005805515239477504  |  Round_error: 0.6287106459599465  |  Train_error: 0.13628318584070798  |  Test_error: 0.0753407682775713  |  AUC: 0.9175328647264247
Iteration 6:

Round: 1  |  Feature: 52  |  Threshold: 0.0010827919373646512  |  Round_error: 0.30542635658914735  |  Train_error: 0.3054263565891473  |  Test_error: 0.19949431099873582  |  AUC: 0.7675496402947992
Round: 2  |  Feature: 51  |  Threshold: 0.0026941314120327606  |  Round_error: 0.3168339829714766  |  Train_error: 0.3054263565891473  |  Test_error: 0.19949431099873582  |  AUC: 0.7675496402947992
Round: 3  |  Feature: 24  |  Threshold: 0.005760921747479598  |  Round_error: 0.6403596984407  |  Train_error: 0.25116279069767444  |  Test_error: 0.12844500632111255  |  AUC: 0.8721905240627662
Round: 4  |  Feature: 54  |  Threshold: 0.002279164775306401  |  Round_error: 0.3443602605704406  |  Train_error: 0.25116279069767444  |  Test_error: 0.14336283185840704  |  AUC: 0.8223506041408032
Round: 5  |  Feature: 20  |  Threshold: 0.04635463546354636  |  Round_error: 0.35911914386067645  |  Train_error: 0.23720930232558135  |  Test_error: 0.09860935524652337  |  AUC: 0.8891445459593758
Round: 6  |  Feature: 45  |  Threshold: 0.0013605442176870747  |  Round_error: 0.6048180444878699  |  Train_error: 0.22945736434108532  |  Test_error: 0.09911504424778761  |  AUC: 0.8887368818745817
Round: 7  |  Feature: 15  |  Threshold: 0.014750000000000001  |  Round_error: 0.3490705904885477  |  Train_error: 0.20155038759689925  |  Test_error: 0.0852085967130215  |  AUC: 0.904335597108462
Round: 8  |  Feature: 36  |  Threshold: 0.005805515239477504  |  Round_error: 0.603791834284436  |  Train_error: 0.18759689922480616  |  Test_error: 0.08293299620733252  |  AUC: 0.9069444301198076
Round: 9  |  Feature: 18  |  Threshold: 0.16186666666666666  |  Round_error: 0.37928033225292057  |  Train_error: 0.1844961240310078  |  Test_error: 0.09178255372945643  |  AUC: 0.8987778491295476
Round: 10  |  Feature: 56  |  Threshold: 0.003630050505050505  |  Round_error: 0.3702951258852877  |  Train_error: 0.17674418604651165  |  Test_error: 0.08571428571428574  |  AUC: 0.9045732202151445
Iteration 7:

Round: 1  |  Feature: 52  |  Threshold: 0.0010827919373646512  |  Round_error: 0.324585635359116  |  Train_error: 0.324585635359116  |  Test_error: 0.19375644994840047  |  AUC: 0.7738206063016233
Round: 2  |  Feature: 51  |  Threshold: 0.004695486175257097  |  Round_error: 0.3220162729069776  |  Train_error: 0.34392265193370164  |  Test_error: 0.1880804953560371  |  AUC: 0.7903259608399603
Round: 3  |  Feature: 24  |  Threshold: 0.005760921747479598  |  Round_error: 0.6646004345294798  |  Train_error: 0.2417127071823204  |  Test_error: 0.12693498452012386  |  AUC: 0.8677052252928078
Round: 4  |  Feature: 6  |  Threshold: 0.002063273727647868  |  Round_error: 0.3362284190842646  |  Train_error: 0.2983425414364641  |  Test_error: 0.14344685242518063  |  AUC: 0.8408845184417779
Round: 5  |  Feature: 45  |  Threshold: 0.0013605442176870747  |  Round_error: 0.6509858232461778  |  Train_error: 0.18922651933701662  |  Test_error: 0.09597523219814241  |  AUC: 0.9034307683443352
Round: 6  |  Feature: 54  |  Threshold: 0.0024861552428506583  |  Round_error: 0.3691324215257562  |  Train_error: 0.20027624309392267  |  Test_error: 0.10758513931888547  |  AUC: 0.8873798632302118
Round: 7  |  Feature: 20  |  Threshold: 0.04635463546354636  |  Round_error: 0.38625422532217957  |  Train_error: 0.18646408839779005  |  Test_error: 0.07559339525283792  |  AUC: 0.9138469525056574
Round: 8  |  Feature: 15  |  Threshold: 0.01475  |  Round_error: 0.39695103521115344  |  Train_error: 0.16022099447513816  |  Test_error: 0.07120743034055732  |  AUC: 0.917123563922873
Round: 9  |  Feature: 26  |  Threshold: 0.0006000600060006001  |  Round_error: 0.6398187626639265  |  Train_error: 0.15607734806629836  |  Test_error: 0.06475748194014452  |  AUC: 0.9271765274754077
Round: 10  |  Feature: 4  |  Threshold: 0.0345  |  Round_error: 0.3861740561004289  |  Train_error: 0.14640883977900554  |  Test_error: 0.06320949432404543  |  AUC: 0.9290807524710863
Iteration 8:

Round: 1  |  Feature: 51  |  Threshold: 0.00743580269721042  |  Round_error: 0.35580524344569286  |  Train_error: 0.35580524344569286  |  Test_error: 0.2000526454330087  |  AUC: 0.7607619162046653
Round: 2  |  Feature: 52  |  Threshold: 0.0010827919373646512  |  Round_error: 0.35017339861616376  |  Train_error: 0.3570536828963795  |  Test_error: 0.1842590155304027  |  AUC: 0.7825818300406789
Round: 3  |  Feature: 24  |  Threshold: 0.005760921747479598  |  Round_error: 0.6935152908441982  |  Train_error: 0.24594257178526846  |  Test_error: 0.12213740458015265  |  AUC: 0.8659051509586172
Round: 4  |  Feature: 6  |  Threshold: 0.002063273727647868  |  Round_error: 0.33099293324091283  |  Train_error: 0.20474406991260918  |  Test_error: 0.10081600421163461  |  AUC: 0.8953974356773828
Round: 5  |  Feature: 45  |  Threshold: 0.0058956916099773245  |  Round_error: 0.6586304344938405  |  Train_error: 0.17602996254681647  |  Test_error: 0.09002369044485392  |  AUC: 0.9051509586172568
Round: 6  |  Feature: 22  |  Threshold: 0.012844036697247705  |  Round_error: 0.37300597796790164  |  Train_error: 0.1710362047440699  |  Test_error: 0.09133982627007109  |  AUC: 0.9039580508401848
Round: 7  |  Feature: 26  |  Threshold: 0.0006000600060006001  |  Round_error: 0.6263674757179706  |  Train_error: 0.16354556803995002  |  Test_error: 0.09212950776520135  |  AUC: 0.9043184977944079
Round: 8  |  Feature: 15  |  Threshold: 0.01475  |  Round_error: 0.3730918430617761  |  Train_error: 0.15230961298377033  |  Test_error: 0.08475914714398525  |  AUC: 0.9144539228643518
Round: 9  |  Feature: 54  |  Threshold: 0.0015038583749432592  |  Round_error: 0.38995750615874414  |  Train_error: 0.1685393258426966  |  Test_error: 0.06317451961042375  |  AUC: 0.9241902816635484
Round: 10  |  Feature: 20  |  Threshold: 0.06435643564356436  |  Round_error: 0.3868846899849411  |  Train_error: 0.14107365792759052  |  Test_error: 0.06264806528033695  |  AUC: 0.9270180738401331
Iteration 9:

Round: 1  |  Feature: 52  |  Threshold: 0.0010827919373646512  |  Round_error: 0.3698630136986301  |  Train_error: 0.36986301369863017  |  Test_error: 0.17776584317937705  |  AUC: 0.7892110958827652
Round: 2  |  Feature: 24  |  Threshold: 0.005760921747479598  |  Round_error: 0.6694176059854776  |  Train_error: 0.3812785388127854  |  Test_error: 0.39151450053705694  |  AUC: 0.6874157359115405
Round: 3  |  Feature: 51  |  Threshold: 0.01276248537471519  |  Round_error: 0.33803229464526163  |  Train_error: 0.2534246575342466  |  Test_error: 0.11519871106337276  |  AUC: 0.8653991652661412
Round: 4  |  Feature: 56  |  Threshold: 0.003314393939393939  |  Round_error: 0.3675520457438575  |  Train_error: 0.2773972602739726  |  Test_error: 0.16165413533834583  |  AUC: 0.8617585225334732
Round: 5  |  Feature: 6  |  Threshold: 0.002063273727647868  |  Round_error: 0.3902134559694475  |  Train_error: 0.21575342465753422  |  Test_error: 0.0714285714285714  |  AUC: 0.9132937258525634
Round: 6  |  Feature: 45  |  Threshold: 0.0013605442176870747  |  Round_error: 0.6618425937901153  |  Train_error: 0.20319634703196343  |  Test_error: 0.1138560687432868  |  AUC: 0.8997190680252282
Round: 7  |  Feature: 15  |  Threshold: 0.03175  |  Round_error: 0.3592237867929607  |  Train_error: 0.17465753424657537  |  Test_error: 0.05880773361976366  |  AUC: 0.9295316560102698
Round: 8  |  Feature: 26  |  Threshold: 0.0006000600060006001  |  Round_error: 0.6235504236451881  |  Train_error: 0.18721461187214616  |  Test_error: 0.09049409237379158  |  AUC: 0.9189610478204517
Round: 9  |  Feature: 4  |  Threshold: 0.0345  |  Round_error: 0.3741160105634044  |  Train_error: 0.16210045662100458  |  Test_error: 0.0631041890440387  |  AUC: 0.9294894852061099
Round: 10  |  Feature: 54  |  Threshold: 0.0015156604630049933  |  Round_error: 0.3903132513086854  |  Train_error: 0.14840182648401823  |  Test_error: 0.05988184747583247  |  AUC: 0.936462551705747
Iteration 10:

